id,name,date,promoter,location,attendance,created_at,modified_at
1044,KSW 45: The Return to Wembley,2018-10-06,KSW,,,2019-04-01T20:49:14.181644,2019-04-01T20:49:14.181644
1054,ACB 78: Young Eagles,2018-01-13,ACB,,,2019-04-01T20:49:31.037949,2019-04-01T20:49:31.037949
1100,WEC 45: Cerrone vs Ratcliff,2009-12-19,OneFC,,,2019-04-01T20:51:42.839069,2019-04-01T20:51:42.839069
1022,EliteXC: Primetime,2008-05-31,Elite,,,2019-04-01T20:48:06.472373,2019-04-01T20:48:06.472373
1073,Bellator 144: Halsey vs. Carvalho,2015-10-23,Bellator,,,2019-04-01T20:50:58.508791,2019-04-01T20:50:58.508791
1078,CES MMA,2012-10-06,CESMMA,,,2019-04-01T20:51:07.491524,2019-04-01T20:51:07.491524
1087,Legacy FC 38: Njokuani vs. Burrow,2015-02-13,Legacy Fc,,,2019-04-01T20:51:26.459834,2019-04-01T20:51:26.459834
1103,Bellator Fighting Championship 31,2010-09-30,Bellator,,,2019-04-01T20:51:49.130168,2019-04-01T20:51:49.130168
1047,UFC Fight Night 12: Swick vs Burkman,2008-01-23,UFC,"Las Vegas, Nevada, USA",2471.0,2019-04-01T20:49:20.172351,2019-04-02T16:23:21.152939
1023,Cage Warriors 49,2012-10-27,Cage Warriors,,,2019-04-01T20:48:18.656396,2019-04-01T20:48:18.656396
1026,ShoXC: Elite Challenger Series,2008-03-21,Sho,,,2019-04-01T20:48:45.130337,2019-04-01T20:48:45.130337
1027,Titan FC 29: Ricci vs. Sotiropoulos,2014-08-22,Titan Fc,,,2019-04-01T20:48:46.421016,2019-04-01T20:48:46.421016
1046,PFL 11: The Championship,2018-12-31,PFL,,,2019-04-01T20:49:17.821996,2019-04-01T20:49:17.821996
1052,CFA 3,2011-10-09,CFA,,,2019-04-01T20:49:28.453654,2019-04-01T20:49:28.453654
1081,Legacy Fighting Championship 23: Spratt vs. Means,2013-09-13,Legacy Fighting Championship,,,2019-04-01T20:51:13.611175,2019-04-01T20:51:13.611175
1090,RFA 28: Sanchez vs. Poppie,2015-08-07,RFA,,,2019-04-01T20:51:30.452062,2019-04-01T20:51:30.452062
1060,UFC 94: St-Pierre vs Penn 2,2009-01-31,UFC,"Las Vegas, Nevada, USA",14885.0,2019-04-01T20:49:36.929296,2019-04-02T16:00:03.230940
1062,UFC 76: Knockout,2007-09-22,UFC,"Anaheim, California, USA",14087.0,2019-04-01T20:49:37.889162,2019-04-02T16:23:19.283202
1029,Titan FC 35: Healy vs. Hawn,2015-09-19,Titan Fc,,,2019-04-01T20:48:48.603501,2019-04-01T20:48:48.603501
1030,LFA 37: Bice vs. Perez,2018-04-20,LFA,,,2019-04-01T20:48:56.890826,2019-04-01T20:48:56.890826
1039,Cage Warriors 79: Clist vs. Svensson,2016-10-15,Cage Warriors,,,2019-04-01T20:49:06.099142,2019-04-01T20:49:06.099142
1045,ONE FC 19: Reign of Champions,2014-08-29,OneFC,,,2019-04-01T20:49:17.517783,2019-04-01T20:49:17.517783
1095,WEC 52: Faber vs. Mizugaki,2010-11-11,WEC,,,2019-04-01T20:51:38.385242,2019-04-01T20:51:38.385242
1059,ONE Championship 58: Kings & Conquerors,2017-08-05,OneFC,,,2019-04-01T20:49:36.153949,2019-04-01T20:49:36.153949
1086,RFA 8: Pegg vs. Pettis,2013-06-21,RFA,,,2019-04-01T20:51:26.206917,2019-04-01T20:51:26.206917
1113,ACB 69: Young Eagles 22,2017-09-09,ACB,,,2019-04-01T20:53:04.113907,2019-04-01T20:53:04.113907
1033,UFC 91: Couture vs Lesnar,2008-11-15,UFC,"Las Vegas, Nevada, USA",14272.0,2019-04-01T20:48:59.729884,2019-04-02T16:07:25.983606
1034,WEC 43: Cerrone vs Henderson,2009-10-10,OneFC,,,2019-04-01T20:49:01.475432,2019-04-01T20:49:01.475432
1066,Bellator 172: Thomson vs. Pitbull,2017-02-18,Bellator,,,2019-04-01T20:49:45.561043,2019-04-01T20:49:45.561043
1109,UFC 147: Silva vs. Franklin II,2012-06-23,UFC,"Belo Horizonte, Minas Gerais, Brazil",16643.0,2019-04-01T20:52:27.533989,2019-04-02T16:00:10.585922
1035,IFL: Grand Prix Semifinals,2007-11-03,IFL,,,2019-04-01T20:49:01.539039,2019-04-01T20:49:01.539039
1040,ACB 65: Silva vs Agnaev,2017-07-22,ACB,,,2019-04-01T20:49:06.934856,2019-04-01T20:49:06.934856
1050,CES MMA 29: O'Neil vs. Steele,2015-06-12,CESMMA,,,2019-04-01T20:49:25.467537,2019-04-01T20:49:25.467537
1058,Fight Nights Global 90: Mineev vs. Ismailov,2018-10-19,Fight Nights Global,,,2019-04-01T20:49:33.708540,2019-04-01T20:49:33.708540
1084,WEC 49: Varner vs. Shalorus,2010-06-20,WEC,,,2019-04-01T20:51:21.454204,2019-04-01T20:51:21.454204
1085,Dana White's Contender Series 16,2018-08-07,Dana Whites Contender Series,,,2019-04-01T20:51:21.702208,2019-04-01T20:51:21.702208
1092,WEC 40: Torres vs Mizugaki,2009-04-05,WEC,,,2019-04-01T20:51:31.530161,2019-04-01T20:51:31.530161
1105,ProElite: Arlovski vs. Lopez,2011-08-27,Pro Elite,,,2019-04-01T20:51:54.813210,2019-04-01T20:51:54.813210
1108,LFA 57: Zalal vs. Mariscal,2019-01-18,LFA,,,2019-04-01T20:52:05.843255,2019-04-01T20:52:05.843255
1038,UFC 168: Weidman vs. Silva II,2013-12-28,UFC,"Las Vegas, Nevada, USA",15650.0,2019-04-01T20:49:04.658516,2019-04-02T17:46:23.504818
1043,Titan FC 39: Cavalcante vs. Healy,2016-06-10,Titan Fc,,,2019-04-01T20:49:09.119868,2019-04-01T20:49:09.119868
1067,Strikeforce Challengers 9,2010-07-23,Strikeforce,,,2019-04-01T20:50:04.500397,2019-04-01T20:50:04.500397
1051,UFC 164: Henderson vs. Pettis II,2013-08-31,UFC,"Milwaukee, Wisconsin, USA",9178.0,2019-04-01T20:49:27.637702,2019-04-02T17:37:40.252676
1063,Bellator 122: Cooper vs. Halsey,2014-07-25,Bellator,,,2019-04-01T20:49:44.499631,2019-04-01T20:49:44.499631
1075,Battle of Moscow 9,2012-12-16,Battleof Moscow,,,2019-04-01T20:51:04.478705,2019-04-01T20:51:04.478705
1079,MFC 39: No Remorse,2014-01-17,MFC,,,2019-04-01T20:51:07.616882,2019-04-01T20:51:07.616882
1080,Sportfight 24: Domination,2008-09-19,Sportfight,,,2019-04-01T20:51:07.650514,2019-04-01T20:51:07.650514
1091,Bellator Fighting Championship 40,2011-04-09,Bellator,,,2019-04-01T20:51:30.531380,2019-04-01T20:51:30.531380
1094,Strikeforce Challengers 12,2010-11-19,Strikeforce,,,2019-04-01T20:51:34.674715,2019-04-01T20:51:34.674715
1102,Strikeforce Challengers 18,2011-08-12,Strikeforce,,,2019-04-01T20:51:48.484945,2019-04-01T20:51:48.484945
1104,KSW 22: Pride Time,2013-03-16,KSW,,,2019-04-01T20:51:51.930158,2019-04-01T20:51:51.930158
1070,UFC on FOX 27: Jacare vs. Brunson 2,2018-01-27,UFC,"Charlotte, North Carolina, USA",10249.0,2019-04-01T20:50:29.413185,2019-04-02T17:59:50.626038
1083,Bellator 219: Awad vs. Girtz,2019-03-29,Bellator,,,2019-04-01T20:51:18.084333,2019-04-01T20:51:18.084333
1099,Titan Fighting Championship 25: Lashley vs. Asplund,2013-06-07,Titan Fighting Championship,,,2019-04-01T20:51:42.363056,2019-04-01T20:51:42.363056
1098,Dana White's Contender Series 2,2017-07-18,Dana Whites Contender Series,,,2019-04-01T20:51:40.676802,2019-04-01T20:51:40.676802
1111,Resurrection Fighting Alliance 6: Krause vs. Imada II,2013-01-18,Resurrection Fighting Alliance,,,2019-04-01T20:53:01.932849,2019-04-01T20:53:01.932849
1097,UFC Fight Night 134: Shogun vs. Smith,2018-07-22,UFC,"Hamburg, Hamburg, Germany",7798.0,2019-04-01T20:51:40.009909,2019-04-02T16:07:49.303928
1114,ProElite 3,2012-01-21,Pro Elite,,,2019-04-01T20:53:12.109645,2019-04-01T20:53:12.109645
1116,LFA 3: Spann vs. Giles,2017-02-10,LFA,,,2019-04-01T20:53:16.345908,2019-04-01T20:53:16.345908
1117,CES MMA 38: Makashvili vs. Soriano,2016-09-23,CESMMA,,,2019-04-01T20:53:19.301040,2019-04-01T20:53:19.301040
1118,Invicta FC 17: Evinger vs. Schneider,2016-05-07,Invicta Fc,,,2019-04-01T20:53:21.508847,2019-04-01T20:53:21.508847
1119,Invicta FC 21: Anderson vs. Tweet,2017-01-14,Invicta Fc,,,2019-04-01T20:53:21.679573,2019-04-01T20:53:21.679573
1120,Bellator Fighting Championship 97: Chandler vs. Rickels,2013-07-31,Bellator,,,2019-04-01T20:53:22.069130,2019-04-01T20:53:22.069130
1121,Bellator 205: McKee vs. Macapa,2018-09-21,Bellator,,,2019-04-01T20:53:22.459328,2019-04-01T20:53:22.459328
1122,LFA 18: Aguilar vs. Rader,2017-08-04,LFA,,,2019-04-01T20:53:24.581312,2019-04-01T20:53:24.581312
1123,ACB 72: Makovsky vs. Sherbatov,2017-10-14,ACB,,,2019-04-01T20:53:24.542734,2019-04-01T20:53:24.542734
1124,ShoXC: Elite Challenger Series,2008-10-10,Sho,,,2019-04-01T20:53:25.977109,2019-04-01T20:53:25.977109
1126,RFA 7: Thatch vs. Rhodes,2013-03-22,RFA,,,2019-04-01T20:53:35.129686,2019-04-01T20:53:35.129686
1127,Cage Warriors 81: Moore vs. Clark,2017-03-04,Cage Warriors,,,2019-04-01T20:53:35.783548,2019-04-01T20:53:35.783548
1128,Invicta FC 11: Cyborg vs. Tweet,2015-02-27,Invicta Fc,,,2019-04-01T20:53:36.103900,2019-04-01T20:53:36.103900
1129,LFA 48: Stots vs. Lilley,2018-09-07,LFA,,,2019-04-01T20:53:36.636073,2019-04-01T20:53:36.636073
1130,Cage Warriors USA: Battle Royale,2008-03-29,Cage Warriors,,,2019-04-01T20:53:37.738118,2019-04-01T20:53:37.738118
1131,Bellator Fighting Championship 81,2012-11-16,Bellator,,,2019-04-01T20:53:38.426309,2019-04-01T20:53:38.426309
1132,Fite Nite 8: High Impact,2009-05-16,Fite Nite,,,2019-04-01T20:53:42.113136,2019-04-01T20:53:42.113136
1133,KSW 47: De Fries vs. Narkun,2019-03-23,KSW,,,2019-04-01T20:53:42.306570,2019-04-01T20:53:42.306570
1134,Invicta FC 8,2014-09-06,Invicta Fc,,,2019-04-01T20:53:42.729069,2019-04-01T20:53:42.729069
1136,CES MMA 52: Norwood vs. Wells,2018-08-17,CESMMA,,,2019-04-01T20:53:44.915227,2019-04-01T20:53:44.915227
1137,Cage Warriors 46,2012-02-23,Cage Warriors,,,2019-04-01T20:53:49.955386,2019-04-01T20:53:49.955386
1138,Invicta FC 16: Hamasaki vs. Brown,2016-03-11,Invicta Fc,,,2019-04-01T20:53:51.423687,2019-04-01T20:53:51.423687
1139,Bellator Fighting Championship 70,2012-05-25,Bellator,,,2019-04-01T20:53:54.788917,2019-04-01T20:53:54.788917
1140,Invicta FC 28: Mizuki vs. Jandiroba,2018-03-24,Invicta Fc,,,2019-04-01T20:54:05.397169,2019-04-01T20:54:05.397169
1142,Invicta FC 14: Evinger vs. Kianzad,2015-09-12,Invicta Fc,,,2019-04-01T20:54:11.031562,2019-04-01T20:54:11.031562
1143,Rizin Fighting Federation 1: Day 1,2015-12-29,Rizin,,,2019-04-01T20:54:17.816656,2019-04-01T20:54:17.816656
1144,Invicta FC 22: Evinger vs. Kunitskaya II,2017-03-25,Invicta Fc,,,2019-04-01T20:54:24.015247,2019-04-01T20:54:24.015247
1145,ONE Championship 50: Age of Domination,2016-12-02,OneFC,,,2019-04-01T20:55:10.794235,2019-04-01T20:55:10.794235
1146,Bellator 189: Budd vs. Blencowe,2017-12-01,Bellator,,,2019-04-01T20:55:18.356093,2019-04-01T20:55:18.356093
1147,ONE Championship 28: Dynasty of Champions,2015-06-20,OneFC,,,2019-04-01T20:55:19.934885,2019-04-01T20:55:19.934885
1148,RFA 24: Smith vs. Romero,2015-03-06,RFA,,,2019-04-01T20:55:19.949852,2019-04-01T20:55:19.949852
