id,fighter1_id,fighter2_id,winner_id,event_id
7352,233,2037,233.0,112
7405,3106,716,3106.0,708
7419,5124,5125,5124.0,853
7426,1762,706,706.0,1395
7528,2138,2417,2138.0,140
7538,91,1077,1077.0,117
7580,1076,1461,1076.0,50
7607,3337,2765,2765.0,824
7615,4011,4017,4011.0,91
7645,4043,1022,1022.0,48
7683,3024,3224,3024.0,1063
7715,5227,4635,4635.0,81
2267,290,1007,290.0,866
2277,1050,3190,3190.0,375
2291,1467,1923,1467.0,599
80,1883,280,280.0,440
39,2822,2597,2597.0,818
73,342,36,342.0,811
2300,2435,3189,2435.0,535
2330,1761,1910,1761.0,151
2386,2780,2118,2780.0,366
2422,2617,2804,2804.0,1549
2442,265,1982,265.0,1498
2491,3069,1409,3069.0,1062
2541,1980,2331,2331.0,614
2570,1573,531,531.0,520
6886,5499,5209,5209.0,713
7081,2852,2475,2475.0,663
7099,3125,2871,3125.0,798
7116,1395,2675,1395.0,777
7160,3129,1022,1022.0,973
7179,3777,1923,1923.0,429
7283,2589,959,2589.0,1306
7299,1921,1225,1921.0,935
7316,4479,164,164.0,928
7356,4424,4425,4424.0,363
7361,4016,4010,4010.0,1372
7402,3363,3364,3363.0,921
7418,3909,984,984.0,1140
7468,5450,5451,5450.0,389
7494,876,1314,1314.0,1271
7504,2838,1052,1052.0,1340
7510,2022,4544,2022.0,203
7539,2519,856,856.0,1523
7596,1120,154,,1540
7602,4357,4358,4357.0,1559
7632,1389,1381,1381.0,580
7674,413,1491,1491.0,815
7704,5453,5454,5453.0,389
2268,533,2489,,486
2279,1838,2709,2709.0,522
83,2359,424,424.0,440
40,472,1779,1779.0,818
2302,3063,2535,3063.0,535
2321,3069,2124,2124.0,1060
2350,1507,255,255.0,481
2405,2874,2535,2874.0,1549
2428,962,1727,962.0,230
2463,2363,1487,1487.0,520
2520,10,603,603.0,67
2550,2449,603,603.0,1047
2580,2495,1236,2495.0,150
6894,1443,3493,3493.0,767
6908,2898,856,856.0,1022
6916,1139,3978,1139.0,1083
6948,4384,1423,1423.0,761
6982,1573,750,750.0,643
6987,5175,2691,2691.0,901
7042,1698,1024,1024.0,558
7079,2852,2263,2852.0,734
7096,4856,4857,4856.0,1359
7105,5510,5511,5511.0,229
7131,4289,5378,4289.0,847
7177,3340,3346,3346.0,197
7218,700,97,97.0,827
7247,1819,5014,5014.0,837
7264,1079,2086,2086.0,506
7284,2589,3249,2589.0,1525
7385,3346,327,327.0,183
7410,3106,1296,1296.0,1384
7484,1898,239,1898.0,234
7499,5145,2148,5145.0,1521
7537,3718,3719,3718.0,339
7543,4131,4132,4131.0,1113
7572,3462,1199,3462.0,12
7621,3632,2709,3632.0,1046
7631,1389,2324,2324.0,735
7662,1993,3024,3024.0,70
7685,3024,4717,3024.0,1256
7719,3789,3413,3413.0,1290
2269,411,1924,1924.0,108
2281,1946,265,1946.0,375
82,970,104,104.0,811
41,65,2806,2806.0,1478
2293,1906,1111,1906.0,544
2311,2946,1351,1351.0,826
2326,573,812,573.0,623
2338,3179,53,53.0,355
2368,3029,417,417.0,481
2402,2998,1451,2998.0,1549
2467,3146,2872,3146.0,520
2497,1282,3229,3229.0,261
2533,1783,3132,1783.0,747
2563,2435,2998,2998.0,366
6898,1910,1053,1053.0,951
6984,1573,3973,3973.0,433
7003,3,311,3.0,1554
7026,1219,946,1219.0,1511
7075,2315,3148,3148.0,1598
7136,2059,2502,2502.0,1559
7159,3129,406,406.0,49
7168,3342,2733,2733.0,299
7180,290,1105,1105.0,979
7195,2425,2873,2425.0,955
7250,996,927,927.0,1035
7292,3609,3604,3604.0,750
